lake,pr_dt,date,DOY,wind.ms,pressure.mB,surface.PAR,salinity,DO_1m,DO_3m,DO_5m,DO_7m,DO_9m,DO_11m,DO_13m,DO_15m,DO_17m,wt_1m,wt_3m,wt_5m,wt_7m,wt_9m,wt_11m,wt_13m,wt_15m,wt_17m,PAR_1m,PAR_3m,PAR_5m,PAR_7m,PAR_9m,PAR_11m,PAR_13m,PAR_15m,PAR_17m
Stechlin,2014-09-01 15:00:00,2014-09-01,244,2.884870678,1010.804511,324.0357,0.135775,9.938,9.9655,9.956,9.9555,9.93,10.4245,9.4925,8.0225,7.137,18.42,18.42,18.42,18.4,18.36,10.9465,8.4125,6.923,6.5375,101.67,26.93,10.6,3.78,0,0,0,0,0
Stechlin,2014-09-01 16:00:00,2014-09-01,244,2.417271417,1010.822013,239.9621,0.135825,9.942,9.971,9.9505,9.932,9.94,10.4585,9.554,8.317,7.2815,18.42,18.42,18.42,18.42,18.3555,11.2125,8.5745,7.2725,6.7495,75.33,31.41,13.98,2.79,0,0,0,0,0
Stechlin,2014-09-01 17:00:00,2014-09-01,244,1.852517066,1010.804511,110.1138,0.135925,9.927,9.9665,9.962,9.944,10.0615,10.5065,9.698,8.279,6.957,18.42,18.42,18.42,18.4,17.831,11.241,8.6425,7.3275,6.3605,27.68,6.9,0,0,0,0,0,0,0
Stechlin,2014-09-01 18:00:00,2014-09-01,244,0.899573196,1010.970791,49.0857,0.135925,9.931,9.95,9.93,9.92,10.008,10.3625,9.5995,8.462,7.095,18.42,18.414,18.42,18.418,17.6655,10.462,8.718,7.3945,6.437,6.2,0,0,0,0,0,0,0,0
Stechlin,2014-09-01 19:00:00,2014-09-01,244,2.081779383,1011.275969,1.6172,0.13585,9.9165,9.9465,9.9285,9.9455,10.0105,10.3825,9.5145,8.4185,7.12,18.41,18.414,18.412,18.41,18.0885,10.3465,8.6445,7.408,6.648,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-01 20:00:00,2014-09-01,244,1.76136685,1011.585189,0.2069,0.135975,9.9315,9.94,9.8915,9.8925,9.9405,10.301,9.6945,8.423,7.024,18.41,18.4095,18.41,18.41,18.2785,10.923,8.769,7.24,6.776,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-01 21:00:00,2014-09-01,244,1.123072988,1011.844815,0.2071,0.136,9.8975,9.897,9.8775,9.8975,10.037,10.409,9.629,8.5365,7.0335,18.399,18.4,18.4005,18.4005,17.7255,10.7815,8.8925,7.3245,6.507,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-01 22:00:00,2014-09-01,244,1.33782128,1012.051931,0.231,0.13595,9.892,9.918,9.906,9.8765,10.1695,10.638,9.538,8.341,7.038,18.3915,18.393,18.4,18.4,17.141,11.4235,8.1825,7.2205,6.6155,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-01 23:00:00,2014-09-01,244,2.86717919,1012.051931,0.2655,0.1359,9.9105,9.941,9.914,9.917,10.0595,10.6705,9.5845,8.3125,7.026,18.385,18.39,18.39,18.39,17.343,11.432,8.48,7.2145,6.4555,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 00:00:00,2014-09-02,245,3.237784928,1012.219111,0.2536,0.135675,9.913,9.89,9.8795,9.8775,10.004,10.4735,9.507,8.5325,7.524,18.38,18.38,18.387,18.38,17.4275,10.915,8.5295,7.59,6.7615,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 01:00:00,2014-09-02,245,2.564242726,1012.386291,0.3,0.1357,9.902,9.91,9.8695,9.8785,10.219,10.64,9.639,8.601,7.665,18.37,18.38,18.3725,18.37,16.659,10.8735,8.8615,7.575,6.8645,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 02:00:00,2014-09-02,245,2.749612914,1012.459218,0.3103,0.135875,9.8845,9.917,9.8885,9.877,10.007,10.6715,9.698,8.739,7.4635,18.3555,18.36,18.36,18.352,17.6185,11.3875,8.6085,7.6115,6.5125,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 03:00:00,2014-09-02,245,2.767169766,1012.494223,0.3214,0.13585,9.886,9.902,9.919,9.8735,9.9715,10.7045,9.706,8.705,6.98,18.35,18.35,18.35,18.35,17.29,11.854,8.6645,7.527,6.244,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 04:00:00,2014-09-02,245,2.699554347,1012.710092,0.3286,0.1355,9.8675,9.891,9.864,9.848,9.8965,10.7965,9.528,8.372,7.108,18.34,18.3415,18.3445,18.34,17.4845,11.4545,8.693,7.047,6.514,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 05:00:00,2014-09-02,245,2.781872281,1013.137119,1.2379,0.136,9.8555,9.86,9.861,9.825,10.0015,10.664,9.6285,8.4365,7.21,18.3255,18.33,18.33,18.33,17.3535,11.169,8.9155,7.352,6.5975,0,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 06:00:00,2014-09-02,245,2.990750339,1013.56078,53.8821,0.136,9.8425,9.8395,9.8425,9.816,9.848,10.515,9.638,8.5135,6.9415,18.32,18.32,18.32,18.32,17.688,11.412,8.9405,7.332,6.4915,9.41,0,0,0,0,0,0,0,0
Stechlin,2014-09-02 07:00:00,2014-09-02,245,2.423087797,1014.04593,248.3857,0.13595,9.8475,9.835,9.82,9.8165,9.8515,10.482,9.516,8.376,6.977,18.31,18.31,18.31,18.3035,17.676,11.2265,8.55,7.1505,6.3575,82.34,42.79,21.83,8.61,1.33,0,0,0,0
Stechlin,2014-09-02 08:00:00,2014-09-02,245,2.475973772,1014.545662,505.2552,0.13595,9.833,9.8585,9.834,9.8165,9.89,10.529,9.494,8.2305,6.784,18.31,18.306,18.3,18.3,17.523,11.3145,8.647,7.2255,6.2335,170.29,82.23,46.84,24.6,11.74,2.7,0,0,0
Stechlin,2014-09-02 09:00:00,2014-09-02,245,3.420139217,1015.107553,1009.4276,0.135575,9.8535,9.85,9.8385,9.815,9.872,10.515,9.501,8.439,6.9425,18.318,18.31,18.31,18.29,17.623,11.35,8.3755,7.187,6.383,328.635,155.78,82.155,43.48,21.11,16.12,3.82,0,0
Stechlin,2014-09-02 10:00:00,2014-09-02,245,3.175958962,1015.387599,1719.275,0.13565,9.8885,9.907,9.8625,9.8505,9.9125,10.528,9.2565,7.96,6.9485,18.37,18.32,18.3125,18.3,17.8725,11.413,8.4915,7.0765,6.369,653.705,175.52,123.065,81.19,30.41,15.15,5.13,0,0
Stechlin,2014-09-02 11:00:00,2014-09-02,245,3.540721392,1015.518876,1884.5897,0.1357,9.9245,9.93,9.896,9.8065,9.834,10.5055,9.399,8.105,6.9195,18.41,18.372,18.33,18.31,18.0325,11.3185,8.4785,6.9995,6.3935,437.715,184.8,150.61,94.025,35.19,22.74,5.55,0,0
Stechlin,2014-09-02 12:00:00,2014-09-02,245,3.108370471,1015.785234,2119.3276,0.13555,9.9435,9.9395,9.948,9.9,9.881,10.5285,9.4565,8.1675,6.7725,18.529,18.43,18.3765,18.3135,17.802,11.5495,8.812,6.953,6.163,519.185,127.48,222.965,177.83,102.59,49.54,19.57,3.47,0
Stechlin,2014-09-02 13:00:00,2014-09-02,245,3.390626472,1016.001997,2437.2429,0.1355,9.945,9.931,9.98,9.89,9.859,10.44,9.331,8.064,6.8365,18.563,18.455,18.41,18.2695,18.082,11.679,8.47,6.813,6.258,576.025,184.78,294.025,62.885,13.59,48.455,0.65,0,0
